size_sqft,price_lakhs
7570,832.74
1160,136.53
5690,580.64
5491,492.34
6034,562.18
6565,619.15
766,41.29
4726,455.02
5878,574.0
8622,845.25
1985,164.93
1069,113.65
7249,709.18
2733,193.52
5611,562.82
5351,529.26
6720,593.02
1484,118.83
4855,515.35
3685,311.68
6696,607.49
8966,880.36
9574,988.55
2858,376.32
8149,847.85
2347,288.94
3047,322.03
9467,912.44
489,81.49
3034,299.12
3305,349.35
4958,448.5
2199,243.22
8034,797.37
1567,168.26
1828,178.55
3856,371.74
4190,443.23
9138,893.5
5693,489.87
9092,815.5
8733,882.52
7813,758.94
2912,204.75
7341,739.43
9855,980.81
6535,628.52
5786,590.94
7399,805.65
9970,1061.23
1075,114.69
8526,848.36
3452,353.09
1885,203.95
4243,410.89
7855,794.23
3373,258.62
1321,136.17
4143,438.14
8289,804.41
9992,994.43
7173,661.72
5975,534.98
461,56.64
4597,423.22
1295,40.66
7929,737.31
9767,928.38
1316,170.33
8169,825.86
6739,630.32
8192,789.81
7163,781.9
8216,868.41
8829,827.0
1178,175.98
9568,952.77
5187,558.68
5159,507.73
6631,722.39
8871,829.12
8984,885.63
7508,811.62
5576,437.97
2362,233.9
364,16.72
8306,864.83
2868,340.3
5763,612.81
2327,244.75
2995,301.53
9987,981.56
5558,566.3
5918,664.78
7036,662.07
691,49.0
6192,615.42
3861,436.15
6484,659.57
3399,389.07
6578,709.51
8692,898.8
3404,287.2
7515,834.55
2754,346.02
9296,932.78
3031,234.01
8454,767.38
5356,548.32
8410,805.91
4140,328.14
1328,53.83
7685,745.0
802,89.95
7210,791.29
9362,960.41
7238,704.73
4788,497.8
506,65.13
5434,580.38
6277,625.7
8021,853.91
7335,774.72
1784,182.54
8158,809.84
1163,162.29
3090,273.33
7708,695.47
9055,829.89
5416,501.78
6319,664.88
2057,184.56
7874,797.63
6674,642.64
7192,694.83
1978,146.53
3542,349.61
4936,484.84
1359,156.53
6968,711.18
3457,335.84
6215,546.2
2993,352.83
3927,388.45
9855,989.48
5750,655.02
1963,241.71
5892,611.52
7692,769.08
1606,160.02
7076,719.61
6164,636.75
9774,1062.97
7826,906.26
9201,934.61
5875,479.84
5830,535.41
4713,561.87
4048,440.73
963,117.6
2298,221.46
8294,769.95
1795,263.39
3604,319.24
4063,442.77
5532,488.16
2153,204.53
6885,738.15
1591,146.62
3881,369.68
7854,785.93
7580,691.2
1936,117.39
3996,435.31
998,78.69
5037,539.02
1154,171.31
8464,906.33
6155,534.45
7692,734.31
6828,709.68
5549,582.55
5472,659.67
2007,155.32
6091,667.51
5835,602.11
5231,441.09
3810,353.61
502,63.33
4518,366.58
9258,822.1
4689,380.84
2627,275.66
8304,806.17
3231,292.1
8077,778.42
497,10.0
7425,719.68
2230,131.98
6587,718.08
9100,994.62
9639,847.6
4582,434.74
2811,260.9
959,87.18
3111,361.18
7398,716.49
6846,680.19
9861,1135.05
2286,223.04
8638,952.11
3211,346.2
2034,175.71
2143,178.26
8980,897.64
3276,271.28
2259,182.71
6059,584.75
6994,714.07
2685,359.8
5036,479.35
2102,233.28
8455,764.11
8420,895.01
6916,605.52
5834,623.32
4361,432.05
562,50.17
6587,643.69
9115,846.44
9508,888.39
2349,276.73
5723,572.9
4848,469.42
3408,362.97
7458,750.87
7700,730.35
3470,470.05
2555,292.54
1454,151.75
4799,454.22
6595,707.14
6497,610.32
1948,151.21
5839,668.57
9937,995.23
4499,411.73
8745,874.78
2857,328.21
5892,620.26
398,88.51
2500,187.52
3261,373.56
5273,518.35
4733,477.76
3169,377.37
1256,160.74
8652,882.75
5999,500.7
7244,722.12
4793,440.07
9792,1014.75
5211,570.65
4287,413.6
6315,598.15
1518,229.62
4796,449.44
5035,443.77
4855,443.87
9446,916.85
8350,791.93
3746,416.87
1345,24.6
7193,675.17
1993,196.93
3736,384.11
9054,989.99
6195,696.76
3654,285.36
525,10.0
5193,520.55
7322,698.54
9451,885.5
5900,590.81
8296,841.13
9307,888.75
7983,767.1
4942,456.1
7979,777.33
8508,877.87
7639,710.0
9735,941.47
2505,230.54
1369,136.56
3744,388.2
1360,238.11
2627,291.31
3720,401.8
601,46.77
906,41.61
3470,320.59
999,64.38
5388,558.41
9631,880.54
490,78.63
1280,122.14
3275,364.17
6402,604.0
1484,103.33
3627,342.37
3694,347.87
8619,902.22
2116,251.44
6154,710.65
7009,676.13
869,10.0
5742,553.73
2195,231.03
3033,339.03
4163,431.48
7755,750.69
4314,517.11
1986,146.91
3309,317.17
8106,756.6
454,46.38
1709,250.35
1084,101.35
8396,832.86
7860,701.2
7643,749.95
7506,808.12
5896,577.09
6101,594.21
